YMS, HM, Used
20180501.000000, 15.000000, 0.022000
20180531.000000, 2400.000000, 0.042000
20180531.000000, 2345.000000, 0.042000
20180531.000000, 2330.000000, 0.032000
20180531.000000, 2315.000000, 0.024000
20180531.000000, 2245.000000, 0.024000
20180531.000000, 2300.000000, 0.026000
20180531.000000, 2345.000000, 0.042000
20180531.000000, 2330.000000, 0.032000
20180531.000000, 2315.000000, 0.024000
20180531.000000, 2245.000000, 0.024000
20180531.000000, 2300.000000, 0.026000
20180531.000000, 2230.000000, 0.034000
20180531.000000, 2330.000000, 0.032000
20180531.000000, 2315.000000, 0.024000
20180531.000000, 2245.000000, 0.024000
20180531.000000, 2300.000000, 0.026000
20180531.000000, 2230.000000, 0.034000
20180531.000000, 2215.000000, 0.042000
20180531.000000, 2315.000000, 0.024000
20180531.000000, 2245.000000, 0.024000
20180531.000000, 2300.000000, 0.026000
20180531.000000, 2230.000000, 0.034000
20180531.000000, 2215.000000, 0.042000
20180531.000000, 2200.000000, 0.042000
20180531.000000, 2245.000000, 0.024000
20180531.000000, 2300.000000, 0.026000
20180531.000000, 2230.000000, 0.034000
20180531.000000, 2215.000000, 0.042000
20180531.000000, 2200.000000, 0.042000
20180531.000000, 2145.000000, 0.032000
20180531.000000, 2300.000000, 0.026000
20180531.000000, 2230.000000, 0.034000
20180531.000000, 2215.000000, 0.042000
20180531.000000, 2200.000000, 0.042000
20180531.000000, 2145.000000, 0.032000
20180531.000000, 2130.000000, 0.024000
20180531.000000, 2230.000000, 0.034000
20180531.000000, 2215.000000, 0.042000
20180531.000000, 2200.000000, 0.042000
20180531.000000, 2145.000000, 0.032000
20180531.000000, 2130.000000, 0.024000
20180531.000000, 2115.000000, 0.026000
20180531.000000, 2215.000000, 0.042000
20180531.000000, 2200.000000, 0.042000
20180531.000000, 2145.000000, 0.032000
20180531.000000, 2130.000000, 0.024000
20180531.000000, 2115.000000, 0.026000
20180531.000000, 2100.000000, 0.024000
20180531.000000, 2200.000000, 0.042000
20180531.000000, 2145.000000, 0.032000
20180531.000000, 2130.000000, 0.024000
20180531.000000, 2115.000000, 0.026000
20180531.000000, 2100.000000, 0.024000
20180531.000000, 2045.000000, 0.036000
20180531.000000, 2145.000000, 0.032000
20180531.000000, 2130.000000, 0.024000
20180531.000000, 2115.000000, 0.026000
20180531.000000, 2100.000000, 0.024000
20180531.000000, 2045.000000, 0.036000
20180531.000000, 2030.000000, 0.040000
20180531.000000, 2130.000000, 0.024000
20180531.000000, 2115.000000, 0.026000
20180531.000000, 2100.000000, 0.024000
20180531.000000, 2045.000000, 0.036000
20180531.000000, 2030.000000, 0.040000
20180531.000000, 2015.000000, 0.042000
20180531.000000, 2115.000000, 0.026000
20180531.000000, 2100.000000, 0.024000
20180531.000000, 2045.000000, 0.036000
20180531.000000, 2030.000000, 0.040000
20180531.000000, 2015.000000, 0.042000
20180531.000000, 2000.000000, 0.040000
20180531.000000, 2100.000000, 0.024000
20180531.000000, 2045.000000, 0.036000
20180531.000000, 2030.000000, 0.040000
20180531.000000, 2015.000000, 0.042000
20180531.000000, 2000.000000, 0.040000
20180531.000000, 1945.000000, 0.040000
20180531.000000, 2045.000000, 0.036000
20180531.000000, 2030.000000, 0.040000
20180531.000000, 2015.000000, 0.042000
20180531.000000, 2000.000000, 0.040000
20180531.000000, 1945.000000, 0.040000
20180531.000000, 1930.000000, 0.042000
20180531.000000, 2030.000000, 0.040000
20180531.000000, 2015.000000, 0.042000
20180531.000000, 2000.000000, 0.040000
20180531.000000, 1945.000000, 0.040000
20180531.000000, 1930.000000, 0.042000
20180531.000000, 1915.000000, 0.550000
20180531.000000, 2015.000000, 0.042000
20180531.000000, 2000.000000, 0.040000
20180531.000000, 1945.000000, 0.040000
20180531.000000, 1930.000000, 0.042000
20180531.000000, 1915.000000, 0.550000
20180531.000000, 1900.000000, 1.286000
20180531.000000, 2000.000000, 0.040000
20180531.000000, 1945.000000, 0.040000
20180531.000000, 1930.000000, 0.042000
20180531.000000, 1915.000000, 0.550000
20180531.000000, 1900.000000, 1.286000
20180531.000000, 1845.000000, 1.326000
20180531.000000, 1945.000000, 0.040000
20180531.000000, 1930.000000, 0.042000
20180531.000000, 1915.000000, 0.550000
20180531.000000, 1900.000000, 1.286000
20180531.000000, 1845.000000, 1.326000
20180531.000000, 1830.000000, 1.316000
20180531.000000, 1930.000000, 0.042000
20180531.000000, 1915.000000, 0.550000
20180531.000000, 1900.000000, 1.286000
20180531.000000, 1845.000000, 1.326000
20180531.000000, 1830.000000, 1.316000
20180531.000000, 1815.000000, 1.364000
20180531.000000, 1915.000000, 0.550000
20180531.000000, 1900.000000, 1.286000
20180531.000000, 1845.000000, 1.326000
20180531.000000, 1830.000000, 1.316000
20180531.000000, 1815.000000, 1.364000
20180531.000000, 1800.000000, 1.374000
20180531.000000, 1900.000000, 1.286000
20180531.000000, 1845.000000, 1.326000
20180531.000000, 1830.000000, 1.316000
20180531.000000, 1815.000000, 1.364000
20180531.000000, 1800.000000, 1.374000
20180531.000000, 1745.000000, 1.352000
20180531.000000, 1845.000000, 1.326000
20180531.000000, 1830.000000, 1.316000
20180531.000000, 1815.000000, 1.364000
